site	gross_sale	month
Acme	10286528	1
Acme	12552500	2
Acme	10950320	6
Acme	11228830	7
Acme	11541394	8
Acme	11854802	9
Acme	11330820	10
Acme	11127920	11
Acme	10878150	12
Botly	56340		1
Botly	66738		2
Botly	65330		6
Botly	63540		7
Botly	67564		8
Botly	67432		9
Botly	63020		10
Botly	60562		11
Botly	62550	12
Pinnacle	128212	1
Pinnacle	133608	2
Pinnacle	127216	6
Pinnacle	131994	7
Pinnacle	126866	8
Pinnacle	128436	9
Pinnacle	125034	10
Pinnacle	118488	11
Pinnacle	128422	12
Sortly	223238	1
Sortly	273138	2
Sortly	247526	6
Sortly	255286	7
Sortly	263906	8
Sortly	264394	9
Sortly	249810	10
Sortly	252510	11
Sortly	251608	12
Tabular	505556	1
Tabular	568008	2
Tabular	497632	6
Tabular	509794	7
Tabular	532466	8
Tabular	532034	9
Tabular	508384	10
Tabular	460686	11
Tabular	461668	12
Widgetry	399576	1
Widgetry	436646	2
Widgetry	418444	6
Widgetry	417144	7
Widgetry	424246	8
Widgetry	447064	9
Widgetry	422260	10
Widgetry	404638	11
Widgetry	418744	12
